key,en,de
"product.kacchi.description","Raw marinated mutton and long-grain basmati, layered and sealed in a dum pot for 6+ hours. Every grain absorbs the saffron, kewra, and generations of spice knowledge. Includes the signature dum potato — a Dhaka trademark no other city gets right.","Roh mariniertes Hammelfleisch und langkörniger Basmati-Reis, geschichtet und über 6 Stunden im Dum-Topf versiegelt gegart. Jedes Reiskorn nimmt Safran, Kewra und Generationen von Gewürzwissen auf. Inklusive der signature Dum-Kartoffel — ein Dhaka-Markenzeichen, das keine andere Stadt so hinbekommt."
"product.kacchi.tags","Young Mutton|Overnight Marinade|Saffron & Kewra|Dum Potato|6+ Hours","Junges Hammelfleisch|Über Nacht mariniert|Safran & Kewra|Dum-Kartoffel|6+ Stunden"
"product.borhani.label","The Perfect Companion","Der perfekte Begleiter"
"product.borhani.emphasis","Borhani","Borhani"
"product.borhani.subtitle","spiced yoghurt drink · the kacchi companion","würziges Joghurtgetränk · der Begleiter zum Kacchi"
"product.borhani.description","No kacchi meal in Bangladesh is complete without Borhani. Chilled, spiced yoghurt blended with black salt, mint, coriander, and green chilli — it cuts through the richness of the biriyani perfectly. Ours is made from scratch, the traditional way. Cooling, complex, unlike anything from a bottle.","Kein Kacchi-Essen in Bangladesch ist ohne Borhani vollständig. Gekühlter, gewürzter Joghurt mit schwarzem Salz, Minze, Koriander und grüner Chili — er gleicht die Reichhaltigkeit des Biriyani perfekt aus. Unserer wird von Grund auf, auf traditionelle Weise, zubereitet. Kühlend, komplex — anders als alles aus der Flasche."
"product.borhani.tags","Spiced Yoghurt|Black Salt|Fresh Mint|Coriander|Served Chilled","Gewürzter Joghurt|Schwarzes Salz|Frische Minze|Koriander|Gekühlt serviert"
"whyUs.eyebrow","Why Dhaka Kacchi Berlin","Warum Dhaka Kacchi Berlin"
"whyUs.titlePre","Cooked the ","Gekocht auf die"
"whyUs.titleEm","Old Way.","alte Art."
"whyUs.titleLine2","Served in Berlin.","Serviert in Berlin."
"whyUs.card1.title","Doctor's Precision","Präzision einer Ärztin"
"whyUs.card1.body","Prepared by a trained physician. The same exactness applied to medicine applies here — hygiene, precision, and standards most kitchens in Berlin can't match.","Zubereitet von einer ausgebildeten Ärztin. Dieselbe Genauigkeit, die sie in der Medizin anwendet, gilt auch hier — Hygiene, Präzision und Standards, die die meisten Küchen in Berlin nicht erreichen."
"whyUs.card2.title","Berlin's Only Real Kacchi","Berlins einziges echtes Kacchi"
"whyUs.card2.body","We searched too. You won't find authentic kacchi anywhere else in Berlin. Not fusion, not compromise — the genuine article, prepared as it is in Dhaka's finest kitchens.","Wir haben auch gesucht. Authentisches Kacchi finden Sie sonst nirgendwo in Berlin. Keine Fusion, kein Kompromiss — das Original, zubereitet wie in Dhakas besten Küchen."
"whyUs.card3.title","Authentic Spices","Authentische Gewürze"
"whyUs.card3.body","Hand-ground spice blends following a generations-old family recipe. No shortcuts, no packets — each batch is blended fresh, in-house, before every preparation.","Von Hand gemahlene Gewürzmischungen nach einem Generationen alten Familienrezept. Keine Abkürzungen, keine Fertigmischungen — jede Charge wird frisch, im eigenen Haus, vor jeder Zubereitung gemischt."
"whyUs.card4.title","Premium Halal Mutton","Premium-Halal-Hammelfleisch"
"whyUs.card4.body","Only fresh, young mutton. Sourced with care, marinated overnight in yoghurt and raw papaya — the traditional Dhaka tenderiser that makes all the difference.","Nur frisches, junges Hammelfleisch. Sorgfältig ausgewählt, über Nacht in Joghurt und roher Papaya mariniert — der traditionelle Dhaka-Zartmacher, der den Unterschied ausmacht."
"whyUs.card5.title","Made for Community","Gemacht für Gemeinschaft"
"whyUs.card5.body","Whether Bangladeshi, Pakistani, Arab, or simply someone who loves extraordinary food — this is the taste that brings people together and keeps them coming back.","Ob bangladeschisch, pakistanisch, arabisch oder einfach jemand, der außergewöhnliches Essen liebt — das ist der Geschmack, der Menschen zusammenbringt und immer wieder zurückkehren lässt."
"whyUs.card6.title","100% Halal & Fresh","100% Halal & Frisch"
"whyUs.card6.body","Every ingredient sourced fresh. Every pot made to order. We never freeze, never compromise — one batch, cooked and collected the same Saturday.","Jede Zutat frisch beschafft. Jeder Topf auf Bestellung zubereitet. Wir frieren nie ein, machen nie Kompromisse — eine Charge, am selben Samstag gekocht und abgeholt."
"values.eyebrow","What We Stand For","Wofür wir stehen"
"values.titlePre","Our ","Unsere"
"values.titleEm","Values","Werte"
"values.card1.title","Tradition First","Tradition zuerst"
"values.card1.body","We follow the old Dhaka recipe. Nothing is changed for convenience — if it takes longer the right way, we take the time. The overnight marinade, the 6+ hours of cooking — all of it matters.","Wir folgen dem alten Dhaka-Rezept. Nichts wird der Bequemlichkeit halber verändert — wenn der richtige Weg länger dauert, nehmen wir uns die Zeit. Die Marinade über Nacht, die über 6 Stunden Garzeit — jedes Detail zählt."
"values.card2.title","Doctor's Standards","Standards einer Ärztin"
"values.card2.body","Hygiene, precision, and standards most home cooks and restaurants can't match. A trained physician applies the same exactness to her kitchen as she does to medicine.","Hygiene, Präzision und Standards, die die meisten Hobbyköche und Restaurants nicht erreichen. Eine ausgebildete Ärztin wendet in ihrer Küche dieselbe Genauigkeit an wie in der Medizin."
"values.card3.title","Fresh Always","Immer frisch"
"values.card3.body","All ingredients are sourced fresh. We never use frozen meat, and we grind our spices in-house before every batch. This is not convenience food — it is ceremonial food.","Alle Zutaten werden frisch beschafft. Wir verwenden niemals gefrorenes Fleisch und mahlen unsere Gewürze vor jeder Charge selbst. Das ist kein Fertiggericht — das ist zeremonielles Essen."
"home.story.eyebrow","The Story Behind the Pot","Die Geschichte hinter dem Topf"
"home.story.titleLine1","I searched all of","Ich habe ganz"
"home.story.titleEm","Berlin. Then I cooked.","Berlin durchsucht. Dann habe ich gekocht."
"home.story.p1","I came to Berlin to pursue my German medical license — juggling the demands of study, a young family, and life in a new country. And through it all, I craved kacchi. Real kacchi. The kind from Old Dhaka.","Ich kam nach Berlin, um meine deutsche Approbation zu erlangen — zwischen den Anforderungen des Studiums, einer jungen Familie und dem Leben in einem neuen Land. Und durch all das hindurch sehnte ich mich nach Kacchi. Echtem Kacchi. Der Art aus Alt-Dhaka."
"home.story.p2","I searched everywhere. Nobody had it. Not even close. So between medical studies and motherhood, I started Dhaka Kacchi — for the community, for the memory, and for the joy of watching someone take that first bite and close their eyes.","Ich habe überall gesucht. Niemand hatte es. Nicht einmal annähernd. Also habe ich zwischen Medizinstudium und Mutterschaft Dhaka Kacchi gegründet — für die Gemeinschaft, für die Erinnerung und für die Freude, jemanden beim ersten Bissen die Augen schließen zu sehen."
"home.story.quote","""Not a business first — a love of food, heritage, and community.""","„Kein Geschäft zuerst — sondern die Liebe zu Essen, Herkunft und Gemeinschaft.“"
"home.story.tags","Berlin-based|Family Recipe|Doctor & Cook|Made with Love","In Berlin ansässig|Familienrezept|Ärztin & Köchin|Mit Liebe gemacht"
"home.story.badgeValue","Berlin","Berlin"
"home.story.badgeLabel","Germany","Deutschland"
"home.cta.eyebrow","Join the Circle","Werden Sie Teil davon"
"home.cta.titlePre","Be the first to","Seien Sie die Ersten,"
"home.cta.titleEm","know everything.","die alles erfahren."
"home.cta.body","Subscribe and get exclusive offers, Eid menus, seasonal specials, batch announcements — and food stories. Subscribers always get first access.","Abonnieren Sie und erhalten Sie exklusive Angebote, Eid-Menüs, saisonale Spezialitäten, Ankündigungen zu neuen Chargen — und Geschichten rund ums Essen. Abonnenten erfahren immer zuerst davon."
"home.cta.label","Subscribe — It's Free","Abonnieren — kostenlos"
"home.cta.footnote","📍 Berlin, Germany  ·  No spam · Unsubscribe anytime","📍 Berlin, Deutschland · Kein Spam · Jederzeit abbestellbar"
"timeline.eyebrow","How to Order in Berlin","So bestellen Sie in Berlin"
"timeline.titlePre","Simple as ","So einfach wie"
"timeline.titleEm","one message.","eine Nachricht."
"timeline.step1.step","Step 1","Schritt 1"
"timeline.step1.title","Subscribe or Message","Abonnieren oder schreiben"
"timeline.step1.body","Join our subscriber list for first access to every batch. Or message directly on WhatsApp. Subscribers hear about batch dates before anyone else.","Treten Sie unserer Abonnentenliste bei und erfahren Sie als Erste von jeder neuen Charge. Oder schreiben Sie uns direkt auf WhatsApp. Abonnenten erfahren die Termine vor allen anderen."
"timeline.step2.step","Step 2","Schritt 2"
"timeline.step2.title","Order by Friday 6pm","Bestellung bis Freitag 18 Uhr"
"timeline.step2.body","We cook one batch a week, entirely from scratch. Orders for a given Saturday close the Friday before at 6pm — after that, the pot is already counted.","Wir kochen eine Charge pro Woche, komplett von Grund auf. Bestellungen für einen Samstag schließen am Freitag davor um 18 Uhr — danach ist der Topf bereits verplant."
"timeline.step3.step","Step 3","Schritt 3"
"timeline.step3.title","Collect or Get It Delivered","Abholen oder liefern lassen"
"timeline.step3.body","Free pickup at our Wedding kitchen, or doorstep delivery across most of Berlin. Each batch is prepared fresh, in full — never frozen, never reheated.","Kostenlose Abholung in unserer Küche in Wedding, oder Lieferung bis vor die Tür in weiten Teilen Berlins. Jede Charge wird frisch und vollständig zubereitet — nie eingefroren, nie aufgewärmt."
"timeline.step4.step","Enjoy","Genießen"
"timeline.step4.title","Close Your Eyes. Take a Bite.","Augen schließen. Zubeißen."
"timeline.step4.body","The rest takes care of itself.","Der Rest ergibt sich von selbst."
"seo.home.title","Dhaka Kacchi Berlin — Authentic Kacchi Biriyani & Borhani","Dhaka Kacchi Berlin — Authentische Kacchi Biriyani & Borhani"
"seo.home.description","Berlin's only authentic Kacchi Biriyani and Borhani — prepared by a Bangladeshi doctor with generations of family tradition.","Berlins einzige authentische Kacchi Biriyani und Borhani — zubereitet von einer bangladeschischen Ärztin mit einer über Generationen gewachsenen Familientradition."
"seo.home.ogTitle","Dhaka Kacchi Berlin","Dhaka Kacchi Berlin"
"seo.home.ogDescription","Authentic Kacchi Biriyani & Borhani, made in Berlin.","Authentische Kacchi Biriyani & Borhani, hergestellt in Berlin."
"seo.about.title","About — Dhaka Kacchi Berlin","Über uns — Dhaka Kacchi Berlin"
"seo.about.description","The story of Dhaka Kacchi Berlin — a Bangladeshi doctor who searched all of Berlin for real kacchi and couldn't find it, so she made it herself.","Die Geschichte von Dhaka Kacchi Berlin — eine bangladeschische Ärztin, die ganz Berlin nach echtem Kacchi durchsuchte, es nicht fand, und es deshalb selbst kochte."
"seo.about.ogTitle","About — Dhaka Kacchi Berlin","Über uns — Dhaka Kacchi Berlin"
"seo.about.ogDescription","A doctor, a craving, and a pot of kacchi. Born in Dhaka. Living in Berlin.","Eine Ärztin, eine Sehnsucht und ein Topf Kacchi. Geboren in Dhaka. Lebt in Berlin."
"seo.history.title","History of Kacchi Biriyani — Dhaka Kacchi","Geschichte der Kacchi Biriyani — Dhaka Kacchi"
"seo.history.description","The rich history of Kacchi Biriyani — from Mughal royal kitchens to the streets of Old Dhaka.","Die reiche Geschichte der Kacchi Biriyani — von den königlichen Küchen der Moguln bis in die Straßen von Alt-Dhaka."
"seo.history.ogTitle","History of Kacchi Biriyani","Geschichte der Kacchi Biriyani"
"seo.history.ogDescription","From Mughal royal kitchens to the streets of Old Dhaka.","Von den königlichen Küchen der Moguln bis in die Straßen von Alt-Dhaka."
"seo.order.title","Order — Dhaka Kacchi Berlin","Bestellen — Dhaka Kacchi Berlin"
"seo.order.description","Order authentic Kacchi Biriyani & Borhani in Berlin. Saturday delivery, cash on delivery, order by Friday 6pm.","Bestellen Sie authentische Kacchi Biriyani & Borhani in Berlin. Lieferung samstags, Barzahlung bei Lieferung, Bestellung bis Freitag 18 Uhr."
"seo.order.ogTitle","Order — Dhaka Kacchi Berlin","Bestellen — Dhaka Kacchi Berlin"
"seo.order.ogDescription","Pick your kacchi, your Saturday, and free pickup or doorstep delivery.","Wählen Sie Ihr Kacchi, Ihren Samstag, und kostenlose Abholung oder Lieferung bis vor die Tür."
"seo.subscribe.title","Subscribe — Dhaka Kacchi Berlin","Abonnieren — Dhaka Kacchi Berlin"
"seo.subscribe.description","Subscribe to Dhaka Kacchi for exclusive offers, Eid specials, and batch announcements.","Abonnieren Sie Dhaka Kacchi für exklusive Angebote, Eid-Spezialitäten und Ankündigungen zu neuen Chargen."
"seo.subscribe.ogTitle","Subscribe — Dhaka Kacchi Berlin","Abonnieren — Dhaka Kacchi Berlin"
"seo.subscribe.ogDescription","Batch announcements and Eid specials, delivered before anyone else hears.","Ankündigungen zu neuen Chargen und Eid-Spezialitäten, bevor jemand anderes davon erfährt."
"seo.privacy.title","Privacy Policy — Dhaka Kacchi Berlin","Datenschutzerklärung — Dhaka Kacchi Berlin"
"seo.privacy.description","What Dhaka Kacchi Berlin collects, why, and how to ask about your data.","Was Dhaka Kacchi Berlin erhebt, warum, und wie Sie Auskunft über Ihre Daten erhalten."
"seo.privacy.ogTitle","Privacy Policy — Dhaka Kacchi Berlin","Datenschutzerklärung — Dhaka Kacchi Berlin"
"seo.privacy.ogDescription","What Dhaka Kacchi Berlin collects, why, and how to ask about your data.","Was Dhaka Kacchi Berlin erhebt, warum, und wie Sie Auskunft über Ihre Daten erhalten."
"about.hero.eyebrow","Berlin · Our Story","Berlin · Unsere Geschichte"
"about.hero.titleLine1","A Doctor,","Eine Ärztin,"
"about.hero.titleLine2","a Craving, and","eine Sehnsucht,"
"about.hero.titleEm","a Pot of Kacchi","und ein Topf Kacchi"
"about.hero.body","How a Bangladeshi physician pursuing her German medical license became Berlin's only authentic kacchi maker — and why she wouldn't have it any other way.","Wie eine bangladeschische Ärztin auf dem Weg zur deutschen Approbation zu Berlins einziger Macherin von authentischem Kacchi wurde — und warum sie es nicht anders haben möchte."
"about.story1.eyebrow","Who We Are","Wer wir sind"
"about.story1.titleLine1","Born in Dhaka.","Geboren in Dhaka."
"about.story1.titleEm","Living in Berlin.","Lebt in Berlin."
"about.story1.p1","I came to Berlin to pursue my German medical license — juggling the demands of study, a young family, and life in a new country. It's a reality many immigrant families know well: the chaos, the joy, and the deep hunger for something from home.","Ich kam nach Berlin, um meine deutsche Approbation zu erlangen — zwischen den Anforderungen des Studiums, einer jungen Familie und dem Leben in einem neuen Land. Eine Realität, die viele Einwandererfamilien gut kennen: das Chaos, die Freude und die tiefe Sehnsucht nach etwas von zu Hause."
"about.story1.p2","That something, for me, was kacchi. Real kacchi. The kind you get in Old Dhaka — sealed in a dum pot, fragrant with saffron and kewra, with the whole potato that absorbs everything. I searched all over Berlin. I found nothing even close.","Für mich war dieses Etwas Kacchi. Echtes Kacchi. So, wie man es in Alt-Dhaka bekommt — im Dum-Topf versiegelt, mit dem Duft von Safran und Kewra, mit der ganzen Kartoffel, die alles aufnimmt. Ich habe ganz Berlin durchsucht. Ich fand nichts, was auch nur annähernd herankam."
"about.story1.quote","""I searched all over Berlin for real kacchi. I couldn't find it. So I made it myself.""","„Ich habe ganz Berlin nach echtem Kacchi durchsucht. Ich konnte es nicht finden. Also habe ich es selbst gekocht.“"
"about.story1.tags","Bangladesh|Berlin|Medical Doctor|Family Recipe","Bangladesch|Berlin|Ärztin|Familienrezept"
"about.story1.badgeValue","Berlin","Berlin"
"about.story1.badgeLabel","Germany","Deutschland"
"about.story2.eyebrow","Why Dhaka Kacchi","Warum Dhaka Kacchi"
"about.story2.titlePre","Between studies","Zwischen Studium"
"about.story2.titleEm","and motherhood.","und Mutterschaft."
"about.story2.p1","Millions across Europe share that longing — Bangladeshis, Pakistanis, Arabs, and Germans who've tasted kacchi once and never forgotten it. The craving is real, and nobody was answering it in Berlin.","Millionen Menschen in ganz Europa teilen diese Sehnsucht — Bangladescher, Pakistaner, Araber und Deutsche, die einmal Kacchi probiert und es nie vergessen haben. Die Sehnsucht ist real, und niemand hat sie in Berlin gestillt."
"about.story2.p2","So between medical studies and raising a young family, I started Dhaka Kacchi. Not as a business first — as an act of love. For the community, for the memory, and for the joy of watching someone take that first bite and close their eyes.","Also habe ich zwischen Medizinstudium und dem Großziehen einer jungen Familie Dhaka Kacchi gegründet. Nicht zuerst als Geschäft — sondern als Akt der Liebe. Für die Gemeinschaft, für die Erinnerung und für die Freude, jemanden beim ersten Bissen die Augen schließen zu sehen."
"about.story2.p3","The recipe is my family's — unchanged and uncompromised. The same spice balance, the same overnight marinade, the same patience. The only thing new is the city.","Das Rezept ist das meiner Familie — unverändert und ohne Kompromisse. Dieselbe Gewürzbalance, dieselbe Marinade über Nacht, dieselbe Geduld. Das Einzige, was neu ist, ist die Stadt."
"about.story2.quote","""Not a business first — a love of food, heritage, and community.""","„Kein Geschäft zuerst — sondern die Liebe zu Essen, Herkunft und Gemeinschaft.“"
"about.story2.badgeValue","400+","400+"
"about.story2.badgeLabel","Years of Tradition","Jahre Tradition"
"about.mission.eyebrow","Our Mission","Unsere Mission"
"about.mission.quote","""To serve the most authentic Kacchi Biriyani in Berlin — not the fastest, not the cheapest, but the most honest expression of a 400-year-old tradition, now available in Germany.""","„Die authentischste Kacchi Biriyani in Berlin zu servieren — nicht die schnellste, nicht die günstigste, sondern der ehrlichste Ausdruck einer 400 Jahre alten Tradition, jetzt auch in Deutschland.“"
"about.mission.cite","— Dhaka Kacchi, Berlin","— Dhaka Kacchi, Berlin"
"about.cta.eyebrow","Stay Connected","Bleiben Sie in Verbindung"
"about.cta.titlePre","Get our ","Erhalten Sie unsere"
"about.cta.titleEm","latest news","neuesten Neuigkeiten"
"about.cta.body","Subscribe to our email list for batch announcements, seasonal menus, exclusive offers, and the stories behind each pot.","Abonnieren Sie unsere E-Mail-Liste für Ankündigungen zu neuen Chargen, saisonale Menüs, exklusive Angebote und die Geschichten hinter jedem Topf."
"about.cta.label","Subscribe Now","Jetzt abonnieren"
"about.cta.footnote","📍 Berlin, Germany","📍 Berlin, Deutschland"
"history.hero.eyebrow","A 400-Year Journey","Eine 400 Jahre lange Reise"
"history.hero.titleLine1","The History of","Die Geschichte der"
"history.hero.titleEm","Kacchi Biriyani","Kacchi Biriyani"
"history.hero.body","From Persian royal kitchens through Mughal courts to the bustling streets of Old Dhaka — the story of a dish that refused to be simplified.","Von persischen Königsküchen über Mogulhöfe bis in die belebten Straßen von Alt-Dhaka — die Geschichte eines Gerichts, das sich nie vereinfachen ließ."
"history.persian.titlePre","Persian ","Persische"
"history.persian.titleEm","Origins","Ursprünge"
"history.persian.body","The word biriyani descends from the Persian birinj biriyan — ""fried rice."" Long before it reached the subcontinent, layered rice-and-meat dishes were cooked in the courts of Persia, seasoned with saffron and rose water. It was the Mughals who carried the technique east.","Das Wort Biriyani stammt vom persischen birinj biriyan — „gebratener Reis“. Lange bevor es den indischen Subkontinent erreichte, wurden geschichtete Reis-Fleisch-Gerichte an persischen Höfen zubereitet, gewürzt mit Safran und Rosenwasser. Es waren die Moguln, die die Technik nach Osten brachten."
"history.mughal.titlePre","The Mughal ","Der Mogul-"
"history.mughal.titleEm","Court","hof"
"history.mughal.body1","Under Mughal emperors, biriyani became a staple of royal kitchens. Each capital developed its own dialect — Delhi, Lucknow, Hyderabad. Two schools emerged: pakki (cooked meat layered with rice) and kacchi (raw marinated meat sealed with partially-cooked rice and dum-steamed together).","Unter den Mogulkaisern wurde Biriyani zu einem festen Bestandteil königlicher Küchen. Jede Hauptstadt entwickelte ihre eigene Variante — Delhi, Lucknow, Hyderabad. Zwei Schulen entstanden: pakki (gegartes Fleisch, geschichtet mit Reis) und kacchi (roh mariniertes Fleisch, versiegelt mit teilweise gegartem Reis und gemeinsam im Dum-Verfahren gedämpft)."
"history.mughal.body2","Kacchi is the harder discipline. Undercook, and the meat is raw; overcook, and the rice turns to porridge. Timing, heat control, and the seal of the pot are everything.","Kacchi ist die schwierigere Disziplin. Zu kurz gegart, bleibt das Fleisch roh; zu lange, wird der Reis zu Brei. Timing, Hitzekontrolle und die Versiegelung des Topfes sind entscheidend."
"history.oldDhaka.titlePre","Kacchi in ","Kacchi in"
"history.oldDhaka.titleEm","Old Dhaka","Alt-Dhaka"
"history.oldDhaka.body","When the tradition reached Bengal, Dhaka's cooks made kacchi their own. Young mutton, overnight yoghurt-and-papaya marinade, saffron, kewra, and the signature aloo bukhara (dried plum) — plus the whole potato that soaks up every drop of flavour. No other city gets that potato right.","Als die Tradition Bengalen erreichte, machten Dhakas Köche Kacchi zu ihrem eigenen Gericht. Junges Hammelfleisch, eine Marinade aus Joghurt und Papaya über Nacht, Safran, Kewra und die charakteristische aloo bukhara (getrocknete Pflaume) — dazu die ganze Kartoffel, die jeden Tropfen Geschmack aufsaugt. Keine andere Stadt bekommt diese Kartoffel so hin."
"history.oldDhaka.li1","Overnight marinade in yoghurt and raw papaya","Marinade über Nacht in Joghurt und roher Papaya"
"history.oldDhaka.li2","Hand-ground family spice blends","Von Hand gemahlene Familien-Gewürzmischungen"
"history.oldDhaka.li3","Sealed dum pot cooked over slow heat for 6+ hours","Versiegelter Dum-Topf, über 6 Stunden bei schwacher Hitze gegart"
"history.oldDhaka.li4","Served with borhani — never a substitute","Serviert mit Borhani — nie mit einem Ersatz"
"history.stillMatters.titlePre","Why It ","Warum es"
"history.stillMatters.titleEm","Still Matters","noch immer zählt"
"history.stillMatters.body","Kacchi is not fast food. It cannot be shortcut. Every step is a decision to honour the tradition instead of the clock. That's what we're keeping alive in Berlin — the patience, the discipline, and the reward that comes when someone takes the first bite and closes their eyes.","Kacchi ist kein Fast Food. Es lässt sich nicht abkürzen. Jeder Schritt ist eine Entscheidung, die Tradition statt der Uhr zu ehren. Genau das halten wir in Berlin am Leben — die Geduld, die Disziplin und die Belohnung, wenn jemand beim ersten Bissen die Augen schließt."
"order.hero.eyebrow","Order in Berlin","Bestellen in Berlin"
"order.hero.titleLine1","Choose your kacchi,","Wählen Sie Ihr Kacchi,"
"order.hero.titleEm","choose your Saturday.","wählen Sie Ihren Samstag."
"order.hero.body","We cook every Saturday. Free pickup at our Wedding kitchen, or doorstep delivery across most of Berlin. Cash on delivery — order by Friday 6pm for that week's batch.","Wir kochen jeden Samstag. Kostenlose Abholung in unserer Küche in Wedding, oder Lieferung bis vor die Tür in weiten Teilen Berlins. Barzahlung bei Lieferung — bestellen Sie bis Freitag 18 Uhr für die Charge dieser Woche."
"order.pickupLabel","Leopoldplatz, Wedding — in front of Lidl","Leopoldplatz, Wedding — vor dem Lidl"
"order.error.addressNotFound","We couldn't find that address. Please double-check it.","Wir konnten diese Adresse nicht finden. Bitte überprüfen Sie sie noch einmal."
"order.error.outsideBerlin","That address is outside Berlin — delivery isn't available there. Free pickup is always an option.","Diese Adresse liegt außerhalb Berlins — dorthin liefern wir nicht. Kostenlose Abholung ist immer möglich."
"order.error.tooFar","That address is too far for delivery right now. Free pickup is always an option.","Diese Adresse liegt derzeit zu weit für eine Lieferung entfernt. Kostenlose Abholung ist immer möglich."
"order.loadingMenu","Loading menu…","Menü wird geladen…"
"order.loadError.body","The online order form didn't load. This is usually a temporary connection problem — try again, or order via WhatsApp and we'll confirm your Saturday pickup or delivery manually.","Das Online-Bestellformular konnte nicht geladen werden. Das ist meist ein vorübergehendes Verbindungsproblem — versuchen Sie es erneut, oder bestellen Sie über WhatsApp, und wir bestätigen Ihre Abholung oder Lieferung am Samstag manuell."
"order.tryAgain","Try again","Erneut versuchen"
"order.stillNotWorking","Still not working?","Funktioniert es immer noch nicht?"
"order.orderOnWhatsapp","Order on WhatsApp","Per WhatsApp bestellen"
"order.loggedInAs","Logged in as","Angemeldet als"
"order.logout","Log out","Abmelden"
"order.yourItems","Your Items","Ihre Artikel"
"order.decrease","Decrease {{name}}","{{name}} verringern"
"order.increase","Increase {{name}}","{{name}} erhöhen"
"order.deliverySaturday","Delivery Saturday","Liefer-Samstag"
"order.pickupOrDelivery","Pickup or Delivery","Abholung oder Lieferung"
"order.freePickup","Free Pickup","Kostenlose Abholung"
"order.homeDelivery","Home Delivery","Lieferung nach Hause"
"order.homeDeliverySubtitle","Berlin only, from €5","Nur Berlin, ab 5 €"
"order.streetPlaceholder","Street","Straße"
"order.houseNumberPlaceholder","No.","Nr."
"order.postalCodePlaceholder","Postal code","Postleitzahl"
"order.cityPlaceholder","City","Stadt"
"order.checkingPostalCode","Checking that postal code…","Postleitzahl wird geprüft…"
"order.distanceAway","{{km}}km away — delivery fee {{fee}}","{{km}} km entfernt — Liefergebühr {{fee}}"
"order.fullNamePlaceholder","Full name","Vollständiger Name"
"order.phoneLockedTitle","Phone is locked to your account","Telefonnummer ist mit Ihrem Konto verknüpft"
"order.emailLockedTitle","Email is locked to your account","E-Mail-Adresse ist mit Ihrem Konto verknüpft"
"order.notesPlaceholder","Notes (optional)","Anmerkungen (optional)"
"order.loginPrompt","You'll log in or create an account at checkout to choose pickup or delivery and finish your order.","Sie melden sich beim Bestellabschluss an oder erstellen ein Konto, um Abholung oder Lieferung zu wählen und Ihre Bestellung abzuschließen."
"order.itemsCountSingular","item","Artikel"
"order.itemsCountPlural","items","Artikel"
"order.cashOnDelivery","Cash on delivery","Barzahlung bei Lieferung"
"order.deliveryFeeSuffix","+{{fee}} delivery","+{{fee}} Lieferung"
"order.freePickupSuffix","Free pickup","Kostenlose Abholung"
"order.checkWhatsapp","Check on WhatsApp","Auf WhatsApp nachfragen"
"order.tryAgainAfterTimeout","I checked — no confirmation arrived. Let me try again.","Ich habe nachgesehen — es kam keine Bestätigung an. Ich versuche es erneut."
"order.placingOrder","Placing order…","Bestellung wird aufgegeben…"
"order.placeOrder","Place Order — Cash on Delivery","Bestellen — Barzahlung bei Lieferung"
"order.checkout","Checkout","Zur Kasse"
